CN,ZCTA
XXXXX,XXXXX
R0001,01001
R0001,01007
R0001,01008
R0001,01009
R0001,01010
R0001,01011
R0001,01013
R0001,01020
R0001,01022
R0001,01028
R0001,01030
R0001,01031
R0001,01033
R0001,01034
R0001,01036
R0001,01037
R0001,01040
R0001,01056
R0001,01057
R0001,01069
R0001,01071
R0001,01075
R0001,01077
R0001,01079
R0001,01080
R0001,01081
R0001,01082
R0001,01085
R0001,01086
R0001,01089
R0001,01095
R0001,01097
R0001,01103
R0001,01104
R0001,01105
R0001,01106
R0001,01107
R0001,01108
R0001,01109
R0001,01118
R0001,01119
R0001,01128
R0001,01129
R0001,01151
R0001,01199
R0001,01531
R0002,01002
R0002,01003
R0002,01012
R0002,01026
R0002,01027
R0002,01032
R0002,01035
R0002,01038
R0002,01039
R0002,01050
R0002,01053
R0002,01054
R0002,01060
R0002,01062
R0002,01063
R0002,01066
R0002,01070
R0002,01072
R0002,01073
R0002,01084
R0002,01088
R0002,01093
R0002,01096
R0002,01098
R0002,01355
R0002,01373
R0003,01005
R0003,01074
R0003,01094
R0003,01331
R0003,01364
R0003,01366
R0003,01368
R0003,01378
R0003,01379
R0003,01430
R0003,01436
R0003,01438
R0003,01440
R0003,01452
R0003,01468
R0003,01473
R0003,01475
R0004,01029
R0004,01201
R0004,01220
R0004,01222
R0004,01223
R0004,01224
R0004,01225
R0004,01226
R0004,01229
R0004,01230
R0004,01235
R0004,01236
R0004,01237
R0004,01238
R0004,01240
R0004,01242
R0004,01243
R0004,01244
R0004,01245
R0004,01247
R0004,01253
R0004,01254
R0004,01255
R0004,01256
R0004,01257
R0004,01258
R0004,01259
R0004,01260
R0004,01262
R0004,01264
R0004,01266
R0004,01267
R0004,01270
R0004,01343
R0004,01350
R0004,05352
R0005,01083
R0005,01092
R0005,01420
R0005,01431
R0005,01432
R0005,01434
R0005,01450
R0005,01451
R0005,01453
R0005,01460
R0005,01462
R0005,01463
R0005,01464
R0005,01467
R0005,01469
R0005,01474
R0005,01501
R0005,01503
R0005,01504
R0005,01506
R0005,01507
R0005,01510
R0005,01515
R0005,01516
R0005,01518
R0005,01519
R0005,01521
R0005,01523
R0005,01525
R0005,01529
R0005,01532
R0005,01534
R0005,01535
R0005,01537
R0005,01540
R0005,01550
R0005,01561
R0005,01564
R0005,01566
R0005,01568
R0005,01569
R0005,01570
R0005,01571
R0005,01581
R0005,01585
R0005,01588
R0005,01701
R0005,01702
R0005,01718
R0005,01719
R0005,01720
R0005,01721
R0005,01740
R0005,01742
R0005,01745
R0005,01746
R0005,01747
R0005,01748
R0005,01749
R0005,01752
R0005,01754
R0005,01756
R0005,01757
R0005,01760
R0005,01770
R0005,01772
R0005,01773
R0005,01775
R0005,01776
R0005,01778
R0005,01824
R0005,01826
R0005,01827
R0005,01850
R0005,01851
R0005,01852
R0005,01854
R0005,01863
R0005,01876
R0005,01879
R0005,01886
R0005,02019
R0005,02026
R0005,02030
R0005,02038
R0005,02052
R0005,02053
R0005,02054
R0005,02090
R0005,02492
R0005,02494
R0006,01301
R0006,01330
R0006,01337
R0006,01338
R0006,01339
R0006,01340
R0006,01341
R0006,01342
R0006,01344
R0006,01346
R0006,01347
R0006,01349
R0006,01351
R0006,01354
R0006,01360
R0006,01367
R0006,01370
R0006,01375
R0006,01376
R0007,01068
R0007,01505
R0007,01520
R0007,01522
R0007,01524
R0007,01527
R0007,01536
R0007,01541
R0007,01542
R0007,01543
R0007,01545
R0007,01560
R0007,01562
R0007,01583
R0007,01590
R0007,01602
R0007,01603
R0007,01604
R0007,01605
R0007,01606
R0007,01607
R0007,01608
R0007,01609
R0007,01610
R0007,01611
R0007,01612
R0008,01730
R0008,01731
R0008,01741
R0008,01801
R0008,01803
R0008,01821
R0008,01862
R0008,01864
R0008,01867
R0008,01880
R0008,01887
R0008,01890
R0008,01901
R0008,01902
R0008,01904
R0008,01905
R0008,01906
R0008,01907
R0008,01908
R0008,01915
R0008,01921
R0008,01923
R0008,01929
R0008,01930
R0008,01937
R0008,01938
R0008,01940
R0008,01944
R0008,01945
R0008,01949
R0008,01960
R0008,01966
R0008,01969
R0008,01970
R0008,01982
R0008,01983
R0008,01984
R0008,02108
R0008,02109
R0008,02110
R0008,02111
R0008,02113
R0008,02114
R0008,02115
R0008,02116
R0008,02118
R0008,02119
R0008,02120
R0008,02121
R0008,02122
R0008,02124
R0008,02125
R0008,02126
R0008,02127
R0008,02128
R0008,02129
R0008,02130
R0008,02131
R0008,02132
R0008,02134
R0008,02135
R0008,02136
R0008,02138
R0008,02139
R0008,02140
R0008,02141
R0008,02142
R0008,02143
R0008,02144
R0008,02145
R0008,02148
R0008,02149
R0008,02150
R0008,02151
R0008,02152
R0008,02155
R0008,02163
R0008,02176
R0008,02180
R0008,02199
R0008,02203
R0008,02210
R0008,02215
R0008,02420
R0008,02421
R0008,02445
R0008,02446
R0008,02451
R0008,02452
R0008,02453
R0008,02457
R0008,02458
R0008,02459
R0008,02460
R0008,02461
R0008,02462
R0008,02464
R0008,02465
R0008,02466
R0008,02467
R0008,02468
R0008,02472
R0008,02474
R0008,02476
R0008,02478
R0008,02481
R0008,02482
R0008,02493
R0009,01810
R0009,01830
R0009,01832
R0009,01833
R0009,01834
R0009,01835
R0009,01840
R0009,01841
R0009,01843
R0009,01844
R0009,01845
R0009,01860
R0009,01913
R0009,01922
R0009,01950
R0009,01951
R0009,01952
R0009,01985
R0009,03865
R0010,02021
R0010,02032
R0010,02035
R0010,02048
R0010,02056
R0010,02062
R0010,02067
R0010,02071
R0010,02072
R0010,02081
R0010,02093
R0010,02169
R0010,02170
R0010,02171
R0010,02186
R0010,02301
R0010,02302
R0010,02322
R0010,02324
R0010,02330
R0010,02332
R0010,02333
R0010,02338
R0010,02341
R0010,02346
R0010,02347
R0010,02351
R0010,02356
R0010,02357
R0010,02360
R0010,02364
R0010,02366
R0010,02367
R0010,02368
R0010,02375
R0010,02379
R0010,02382
R0010,02703
R0010,02715
R0010,02718
R0010,02760
R0010,02762
R0010,02763
R0010,02764
R0010,02766
R0010,02767
R0010,02769
R0010,02771
R0010,02779
R0010,02780
R0011,02025
R0011,02043
R0011,02045
R0011,02047
R0011,02050
R0011,02061
R0011,02066
R0011,02184
R0011,02188
R0011,02189
R0011,02190
R0011,02191
R0011,02339
R0011,02343
R0011,02359
R0011,02370
R0012,02532
R0012,02534
R0012,02536
R0012,02537
R0012,02540
R0012,02542
R0012,02543
R0012,02553
R0012,02556
R0012,02559
R0012,02561
R0012,02562
R0012,02563
R0012,02601
R0012,02630
R0012,02631
R0012,02632
R0012,02633
R0012,02635
R0012,02637
R0012,02638
R0012,02639
R0012,02641
R0012,02642
R0012,02643
R0012,02644
R0012,02645
R0012,02646
R0012,02647
R0012,02648
R0012,02649
R0012,02650
R0012,02651
R0012,02652
R0012,02653
R0012,02655
R0012,02657
R0012,02659
R0012,02660
R0012,02663
R0012,02664
R0012,02666
R0012,02667
R0012,02668
R0012,02669
R0012,02670
R0012,02671
R0012,02672
R0012,02673
R0012,02675
R0012,02713
R0013,02538
R0013,02558
R0013,02571
R0013,02576
R0013,02702
R0013,02717
R0013,02719
R0013,02720
R0013,02721
R0013,02723
R0013,02724
R0013,02725
R0013,02726
R0013,02738
R0013,02739
R0013,02740
R0013,02743
R0013,02744
R0013,02745
R0013,02746
R0013,02747
R0013,02748
R0013,02770
R0013,02777
R0013,02790
R0013,02791
R0014,02804
R0014,02807
R0014,02808
R0014,02812
R0014,02813
R0014,02822
R0014,02832
R0014,02833
R0014,02835
R0014,02836
R0014,02852
R0014,02873
R0014,02874
R0014,02875
R0014,02879
R0014,02881
R0014,02882
R0014,02891
R0014,02892
R0014,02894
R0014,02898
R0015,02802
R0015,02806
R0015,02809
R0015,02814
R0015,02815
R0015,02816
R0015,02817
R0015,02818
R0015,02825
R0015,02826
R0015,02827
R0015,02828
R0015,02830
R0015,02831
R0015,02837
R0015,02838
R0015,02839
R0015,02840
R0015,02841
R0015,02842
R0015,02857
R0015,02858
R0015,02859
R0015,02860
R0015,02861
R0015,02863
R0015,02864
R0015,02865
R0015,02871
R0015,02872
R0015,02876
R0015,02878
R0015,02885
R0015,02886
R0015,02888
R0015,02889
R0015,02893
R0015,02895
R0015,02896
R0015,02903
R0015,02904
R0015,02905
R0015,02906
R0015,02907
R0015,02908
R0015,02909
R0015,02910
R0015,02911
R0015,02912
R0015,02914
R0015,02915
R0015,02916
R0015,02917
R0015,02919
R0015,02920
R0015,02921
R0016,03031
R0016,03032
R0016,03033
R0016,03034
R0016,03045
R0016,03049
R0016,03051
R0016,03052
R0016,03054
R0016,03055
R0016,03057
R0016,03060
R0016,03062
R0016,03063
R0016,03064
R0016,03070
R0016,03082
R0016,03086
R0016,03101
R0016,03102
R0016,03103
R0016,03104
R0016,03106
R0016,03109
R0016,03110
R0017,03036
R0017,03037
R0017,03038
R0017,03042
R0017,03044
R0017,03053
R0017,03076
R0017,03077
R0017,03079
R0017,03087
R0017,03290
R0017,03291
R0017,03801
R0017,03811
R0017,03819
R0017,03826
R0017,03827
R0017,03833
R0017,03840
R0017,03841
R0017,03842
R0017,03844
R0017,03848
R0017,03854
R0017,03856
R0017,03857
R0017,03858
R0017,03862
R0017,03870
R0017,03871
R0017,03873
R0017,03874
R0017,03885
R0018,03043
R0018,03047
R0018,03048
R0018,03071
R0018,03084
R0018,03431
R0018,03441
R0018,03442
R0018,03443
R0018,03444
R0018,03445
R0018,03446
R0018,03447
R0018,03448
R0018,03449
R0018,03450
R0018,03451
R0018,03452
R0018,03455
R0018,03456
R0018,03457
R0018,03458
R0018,03461
R0018,03462
R0018,03464
R0018,03465
R0018,03466
R0018,03467
R0018,03470
R0018,03602
R0018,03604
R0018,03608
R0019,03046
R0019,03218
R0019,03221
R0019,03224
R0019,03225
R0019,03229
R0019,03234
R0019,03242
R0019,03244
R0019,03258
R0019,03261
R0019,03263
R0019,03273
R0019,03275
R0019,03278
R0019,03280
R0019,03281
R0019,03301
R0019,03303
R0019,03304
R0019,03307
R0019,03440
R0020,03216
R0020,03230
R0020,03233
R0020,03240
R0020,03255
R0020,03257
R0020,03260
R0020,03284
R0020,03287
R0020,03746
R0020,03751
R0020,03752
R0020,03753
R0020,03754
R0020,03773
R0020,03782
R0021,03217
R0021,03223
R0021,03241
R0021,03245
R0021,03264
R0021,03266
R0021,03279
R0021,03282
R0021,03285
R0021,03293
R0022,03220
R0022,03227
R0022,03237
R0022,03246
R0022,03249
R0022,03809
R0022,03810
R0022,03814
R0022,03816
R0022,03830
R0022,03837
R0022,03850
R0022,03853
R0022,03864
R0022,03872
R0022,03882
R0022,03883
R0022,03890
R0022,03894
R0023,03609
R0023,06401
R0023,06403
R0023,06405
R0023,06413
R0023,06418
R0023,06419
R0023,06437
R0023,06443
R0023,06460
R0023,06461
R0023,06468
R0023,06471
R0023,06472
R0023,06473
R0023,06475
R0023,06477
R0023,06478
R0023,06483
R0023,06484
R0023,06498
R0023,06510
R0023,06511
R0023,06512
R0023,06513
R0023,06514
R0023,06515
R0023,06516
R0023,06517
R0023,06518
R0023,06519
R0023,06524
R0023,06525
R0023,06604
R0023,06605
R0023,06606
R0023,06607
R0023,06608
R0023,06610
R0023,06611
R0023,06612
R0023,06614
R0023,06615
R0023,06807
R0023,06820
R0023,06824
R0023,06825
R0023,06830
R0023,06831
R0023,06840
R0023,06850
R0023,06851
R0023,06853
R0023,06854
R0023,06855
R0023,06856
R0023,06870
R0023,06878
R0023,06880
R0023,06883
R0023,06890
R0023,06897
R0023,06901
R0023,06902
R0023,06903
R0023,06905
R0023,06906
R0023,06907
R0024,03251
R0024,03262
R0024,03561
R0024,03574
R0024,03575
R0024,03580
R0024,03585
R0024,03586
R0024,03771
R0025,03570
R0025,03576
R0025,03579
R0025,03581
R0025,03582
R0025,03583
R0025,03584
R0025,03588
R0025,03590
R0025,03592
R0025,03593
R0025,03595
R0025,03597
R0025,03598
R0025,04261
R0025,05858
R0025,05902
R0025,05904
R0025,05905
R0025,05906
R0026,03238
R0026,03740
R0026,03765
R0026,03774
R0026,03779
R0026,03780
R0026,03785
R0026,05033
R0026,05040
R0026,05051
R0026,05069
R0026,05081
R0027,03741
R0027,03745
R0027,03748
R0027,03750
R0027,03755
R0027,03766
R0027,03768
R0027,03770
R0027,03777
R0027,03781
R0027,03784
R0027,05001
R0027,05031
R0027,05032
R0027,05034
R0027,05035
R0027,05036
R0027,05037
R0027,05038
R0027,05039
R0027,05041
R0027,05043
R0027,05045
R0027,05048
R0027,05052
R0027,05053
R0027,05055
R0027,05056
R0027,05058
R0027,05059
R0027,05060
R0027,05061
R0027,05062
R0027,05065
R0027,05067
R0027,05068
R0027,05070
R0027,05071
R0027,05072
R0027,05075
R0027,05076
R0027,05077
R0027,05079
R0027,05083
R0027,05084
R0027,05086
R0027,05089
R0027,05091
R0027,05101
R0027,05141
R0027,05142
R0027,05143
R0027,05146
R0027,05148
R0027,05149
R0027,05150
R0027,05151
R0027,05152
R0027,05153
R0027,05154
R0027,05155
R0027,05156
R0027,05158
R0027,05161
R0027,05301
R0027,05340
R0027,05341
R0027,05342
R0027,05343
R0027,05345
R0027,05346
R0027,05353
R0027,05354
R0027,05355
R0027,05358
R0027,05359
R0027,05362
R0027,05751
R0027,05758
R0027,05762
R0027,05767
R0027,05772
R0028,03215
R0028,03259
R0028,03812
R0028,03813
R0028,03817
R0028,03818
R0028,03832
R0028,03836
R0028,03838
R0028,03845
R0028,03846
R0028,03847
R0028,03849
R0028,03860
R0028,03875
R0028,03886
R0029,03820
R0029,03823
R0029,03824
R0029,03825
R0029,03835
R0029,03839
R0029,03851
R0029,03852
R0029,03855
R0029,03861
R0029,03867
R0029,03868
R0029,03869
R0029,03878
R0029,03884
R0029,03887
R0029,03901
R0029,03906
R0029,03908
R0029,04027
R0030,03902
R0030,03903
R0030,03904
R0030,03905
R0030,03907
R0030,03909
R0030,03910
R0030,03911
R0030,04090
R0031,04001
R0031,04002
R0031,04005
R0031,04006
R0031,04015
R0031,04020
