column	class	nn	uniquevals	isnum	frc_int	n_nonmissing	n_missing	frc_missing	n_nonrepeat	frc_nonrepeat	top3	frc_mostcommon	md5	c_empty	c_uninformative	c_ordinal	c_tm	c_tf	c_numeric	c_factor	c_safe	c_safetf	c_safenumeric	c_complex	c_reistetter	c_schmidt	c_lin	c_notin2013	c_domainexpert	c_pct	c_total	c_byarea	c_per1k	c_median	c_medianhh	c_meanhh	c_percap	c_factorarea	c_SDI	c_ADI
CN	character	1711	1711	FALSE	0	1711	0	0	1711	1	"""A0001""; ""A0002""; ""A0003"""	0.000584453535944	0e0bc00e1b61b8f73dd5af1efa21c6ab	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE																
YEAR	numeric	1711	1	TRUE	1	1711	0	0	0	0	"""2013""; ""NA""; ""NA"""	1	b55b9c793c9057bd75f9fbdbf4fa1796	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE																
ACS_TOTAL_POP_WT	numeric	1711	1702	TRUE	1	1711	0	0	1693	0.98947983635301	"""4899""; ""16820""; ""25091"""	0.001168907071888	272e2fd46c4de30c3904776c1a9ee7f0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE		TRUE									
REGION	character	1711	8	FALSE	0	1711	0	0	0	0	"""South""; ""Midwest""; ""West"""	0.410286382232612	26208dd986c83f1f6e1fd6b889c4342e	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE														TRUE		
STATE	character	1711	117	FALSE	0	1711	0	0	30	0.017533606078317	"""Texas""; ""California""; ""Pennsylvania"""	0.054354178842782	b3f0e17778dc2398731b1f563e021957	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE														TRUE		
ZCTA	numeric	1711	97	TRUE	0.898305084745763	1711	0	0	30	0.017533606078317	"""8""; ""6""; ""9"""	0.053185271770894	8bc36f630f444814ce63254c1ad207a1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE																
ERS_RUCA1_2010	numeric	1711	289	TRUE	0.808299240210403	1711	0	0	89	0.052016364699006	"""36""; ""25""; ""13"""	0.015195791934541	60ad165f3443fe5628b7910bfe247d54	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE														TRUE		
ERS_RUCA2_2010	numeric	1711	669	TRUE	0.489187609585038	1711	0	0	417	0.243717124488603	"""13""; ""36""; ""11"""	0.012273524254822	752e4601e746f6022a6644be6729fb8f	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE														TRUE		
CEN_POPDENSITY_2010	numeric	1711	1711	TRUE	0	1711	0	0	1711	1	"""9.55573366613295""; ""10.109100677756""; ""11.8462598086171"""	0.000584453535944	53384596bc3554174761eff256cfc3d2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE								TRUE								
CEN_AREALAND_SQM	numeric	1711	1711	TRUE	0	1711	0	0	1711	1	"""2.8219419657""; ""2.9090515311""; ""5.0915057193"""	0.000584453535944	7f15a52599defc2dbb3fa7f530f2b1fa	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE							TRUE									
ACS_PCT_FOREIGN_BORN	numeric	1711	1702	TRUE	0.002922267679719	1711	0	0	1693	0.98947983635301	"""0""; ""13.86""; ""29.532"""	0.001168907071888	c876c6e38fb603d4f6bf405be870ed6c	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_CTZ_US_BORN	numeric	1711	1711	TRUE	0.002337814143776	1711	0	0	1711	1	"""150.019""; ""159.949""; ""163.684"""	0.000584453535944	35badd3d708e8104fadfec17eec3527b	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_CTZ_NONUS_BORN	numeric	1711	1695	TRUE	0.001753360607832	1711	0	0	1679	0.981297486849795	"""0""; ""3.673""; ""4.371"""	0.001168907071888	4b4457932a5e1af76dc371305c7139c6	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_NON_CITIZEN	numeric	1711	1704	TRUE	0.002922267679719	1711	0	0	1698	0.99240210403273	"""0""; ""8.002""; ""10.748"""	0.001753360607832	e9d51bf8c4f119fde35ab49e0befa0fa	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_NONCTN_1990	numeric	1711	1590	TRUE	0.0239625949737	1711	0	0	1510	0.882524839275278	"""0""; ""1.047""; ""3.967"""	0.023378141437756	7009128c8c44ddae1fe36d0791b775d6	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
